"","animal_id_intake","intake_type","intake_condition","time_in_shelter_days","animal_type","sex_upon_intake","age_upon_intake_(years)","age_upon_intake_age_group","breed","color","outcome_type","age","time_in_shelter_months","time_in_shelter_weeks","binary","trinary","fixed_or_not"
"13419","A753016","Stray","Normal",64,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.1,2,9,1,"over one month","Intact"
"13420","A753017","Stray","Normal",50,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue Tabby","Adoption",0.1,2,7,1,"over one month","Intact"
"13421","A753019","Stray","Normal",50,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.1,2,7,1,"over one month","Intact"
"13422","A753028","Stray","Normal",6,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Tortie","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13423","A753038","Stray","Normal",54,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.1,2,8,1,"over one month","Intact"
"13424","A753042","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Australian Shepherd Mix","Brown","Adoption",1,0,1,0,"under_one_month","Fixed"
"13425","A753046","Owner Surrender","Normal",68,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.1,2,10,1,"over one month","Intact"
"13426","A753051","Public Assist","Normal",8,"Dog","Male",6,"(5.0, 7.5]","Labrador Retriever Mix","Buff","Return to Owner",6,0,1,0,"under_one_month","Fixed"
"13427","A753075","Owner Surrender","Normal",8,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.2,0,1,0,"under_one_month","Fixed"
"13428","A753082","Owner Surrender","Normal",66,"Dog","Male",2,"(-0.025, 2.5]","German Shepherd Mix","Black","Transfer",2,2,9,1,"over one month","Fixed"
"13429","A753102","Owner Surrender","Normal",83,"Cat","Female",8,"(7.5, 10.0]","Domestic Shorthair Mix","Black","Adoption",8,3,12,1,"over one month","Fixed"
"13430","A753118","Stray","Injured",86,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Cream Tabby","Adoption",0.2,3,12,1,"over one month","Intact"
"13431","A753120","Stray","Normal",7,"Dog","Male",1,"(-0.025, 2.5]","German Shepherd Mix","Brown","Adoption",1,0,1,0,"under_one_month","Intact"
"13432","A753133","Stray","Normal",8,"Dog","Female",0.410958904109589,"(-0.025, 2.5]","Pit Bull Mix","Black","Adoption",0.4,0,1,0,"under_one_month","Intact"
"13433","A753143","Stray","Normal",70,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Blue","Adoption",2,2,10,1,"over one month","Fixed"
"13434","A753155","Stray","Normal",6,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Medium Hair Mix","White","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13435","A753169","Stray","Normal",6,"Cat","Female",0.246575342465753,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.2,0,1,0,"under_one_month","Intact"
"13436","A753183","Owner Surrender","Normal",7,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Died",0.1,0,1,0,"under_one_month","Intact"
"13437","A753190","Owner Surrender","Normal",91,"Cat","Female",8,"(7.5, 10.0]","Domestic Shorthair Mix","Black","Transfer",8,3,13,1,"over one month","Fixed"
"13438","A753223","Stray","Normal",7,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Medium Hair Mix","Brown Tabby","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13439","A753240","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Chihuahua Shorthair","Brown","Adoption",1,0,1,0,"under_one_month","Intact"
"13440","A753242","Stray","Normal",9,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Transfer",0.2,0,1,0,"under_one_month","Intact"
"13441","A753243","Stray","Normal",7,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13442","A753245","Stray","Normal",67,"Cat","Female",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.1,2,10,1,"over one month","Intact"
"13443","A753246","Stray","Normal",63,"Cat","Male",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.1,2,9,1,"over one month","Intact"
"13444","A753257","Stray","Normal",7,"Dog","Female",0.493150684931507,"(-0.025, 2.5]","Pointer Mix","Black","Adoption",0.5,0,1,0,"under_one_month","Intact"
"13445","A753262","Stray","Normal",7,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","White","Adoption",0.1,0,1,0,"under_one_month","Intact"
"13446","A753268","Stray","Injured",6,"Dog","Male",2,"(-0.025, 2.5]","Australian Cattle Dog Mix","Blue Merle","Return to Owner",2,0,1,0,"under_one_month","Intact"
"13447","A753284","Owner Surrender","Normal",9,"Dog","Female",1,"(-0.025, 2.5]","Whippet","Brown Brindle","Transfer",1,0,1,0,"under_one_month","Intact"
"13448","A753286","Stray","Normal",7,"Dog","Female",7,"(5.0, 7.5]","Shih Tzu","White","Transfer",7,0,1,0,"under_one_month","Fixed"
"13449","A753313","Stray","Normal",7,"Cat","Unknown",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.2,0,1,0,"under_one_month","Unknown"
"13450","A753314","Stray","Normal",7,"Cat","Unknown",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.2,0,1,0,"under_one_month","Unknown"
"13451","A753315","Stray","Normal",6,"Cat","Unknown",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.2,0,1,0,"under_one_month","Unknown"
"13452","A753316","Stray","Normal",6,"Cat","Unknown",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Transfer",0.2,0,1,0,"under_one_month","Unknown"
"13453","A753317","Stray","Normal",7,"Cat","Unknown",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","White","Transfer",0.2,0,1,0,"under_one_month","Unknown"
"13454","A753331","Stray","Normal",8,"Dog","Male",0.575342465753425,"(-0.025, 2.5]","Pit Bull Mix","Blue","Transfer",0.6,0,1,0,"under_one_month","Intact"
"13455","A753334","Stray","Sick",52,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair","Black","Adoption",0.1,2,7,1,"over one month","Intact"
"13456","A753342","Stray","Sick",83,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.2,3,12,1,"over one month","Intact"
"13457","A753351","Owner Surrender","Normal",98,"Dog","Male",1,"(-0.025, 2.5]","Pit Bull Mix","Fawn","Transfer",1,3,14,1,"over one month","Fixed"
"13458","A753357","Stray","Normal",7,"Dog","Male",1,"(-0.025, 2.5]","Labrador Retriever Mix","Black","Adoption",1,0,1,0,"under_one_month","Intact"
"13459","A753359","Owner Surrender","Normal",6,"Dog","Female",4,"(2.5, 5.0]","Cairn Terrier Mix","Black","Transfer",4,0,1,0,"under_one_month","Intact"
"13460","A753360","Stray","Normal",6,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue","Adoption",0.1,0,1,0,"under_one_month","Intact"
"13461","A753364","Stray","Normal",58,"Cat","Male",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.1,2,8,1,"over one month","Intact"
"13462","A753367","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Cairn Terrier Mix","Tan","Adoption",1,0,1,0,"under_one_month","Intact"
"13463","A753368","Stray","Normal",8,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13464","A753369","Owner Surrender","Normal",52,"Cat","Female",7,"(5.0, 7.5]","Domestic Shorthair Mix","Blue","Transfer",7,2,7,1,"over one month","Fixed"
"13465","A753370","Owner Surrender","Normal",76,"Cat","Female",5,"(2.5, 5.0]","Domestic Shorthair Mix","Tortie","Adoption",5,2,11,1,"over one month","Fixed"
"13466","A753376","Stray","Normal",6,"Dog","Male",6,"(5.0, 7.5]","Chihuahua Shorthair","Tan","Transfer",6,0,1,0,"under_one_month","Intact"
"13467","A753389","Stray","Normal",65,"Dog","Female",10,"(7.5, 10.0]","Chihuahua Shorthair Mix","Red","Adoption",10,2,9,1,"over one month","Fixed"
"13468","A753394","Stray","Normal",9,"Dog","Female",2,"(-0.025, 2.5]","Pit Bull Mix","Black","Adoption",2,0,1,0,"under_one_month","Intact"
"13469","A753399","Stray","Normal",8,"Dog","Male",2,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Tan","Transfer",2,0,1,0,"under_one_month","Intact"
"13470","A753400","Stray","Normal",6,"Dog","Female",2,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Black","Adoption",2,0,1,0,"under_one_month","Intact"
"13471","A753404","Public Assist","Normal",9,"Dog","Male",1,"(-0.025, 2.5]","Pit Bull Mix","Black","Return to Owner",1,0,1,0,"under_one_month","Fixed"
"13472","A753428","Stray","Normal",7,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Transfer",0.2,0,1,0,"under_one_month","Intact"
"13473","A753429","Stray","Normal",7,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Transfer",0.2,0,1,0,"under_one_month","Intact"
"13474","A753430","Stray","Normal",7,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue","Transfer",0.2,0,1,0,"under_one_month","Intact"
"13475","A753431","Stray","Normal",7,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue","Transfer",0.2,0,1,0,"under_one_month","Intact"
"13476","A753448","Owner Surrender","Normal",71,"Cat","Male",2,"(-0.025, 2.5]","Domestic Medium Hair Mix","Black Smoke","Adoption",2,2,10,1,"over one month","Fixed"
"13477","A753449","Owner Surrender","Sick",96,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Brown","Adoption",2,3,14,1,"over one month","Fixed"
"13478","A753467","Stray","Normal",6,"Dog","Male",2,"(-0.025, 2.5]","Yorkshire Terrier Mix","Tan","Adoption",2,0,1,0,"under_one_month","Intact"
"13479","A753468","Stray","Normal",9,"Dog","Female",1,"(-0.025, 2.5]","Pit Bull Mix","Black","Adoption",1,0,1,0,"under_one_month","Intact"
"13480","A753497","Stray","Normal",7,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Medium Hair Mix","Brown Tabby","Transfer",0.2,0,1,0,"under_one_month","Intact"
"13481","A753499","Stray","Normal",8,"Dog","Female",2,"(-0.025, 2.5]","Australian Cattle Dog Mix","White","Adoption",2,0,1,0,"under_one_month","Fixed"
"13482","A753509","Stray","Normal",7,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Medium Hair Mix","Brown Tabby","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13483","A753516","Stray","Normal",9,"Dog","Male",7,"(5.0, 7.5]","Labrador Retriever Mix","Brown","Adoption",7,0,1,0,"under_one_month","Intact"
"13484","A753530","Stray","Normal",89,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.1,3,13,1,"over one month","Intact"
"13485","A753534","Stray","Normal",7,"Dog","Female",6,"(5.0, 7.5]","Chihuahua Shorthair Mix","Tan","Transfer",6,0,1,0,"under_one_month","Fixed"
"13486","A753542","Stray","Normal",6,"Cat","Female",0.0575342465753425,"(-0.025, 2.5]","Domestic Medium Hair Mix","Blue","Transfer",0.1,0,1,0,"under_one_month","Intact"
"13487","A753544","Stray","Normal",6,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Medium Hair Mix","Black","Transfer",0.1,0,1,0,"under_one_month","Intact"
"13488","A753545","Stray","Normal",6,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Medium Hair Mix","Black","Transfer",0.1,0,1,0,"under_one_month","Intact"
"13489","A753546","Stray","Normal",6,"Cat","Male",0.0767123287671233,"(-0.025, 2.5]","Domestic Medium Hair Mix","Black","Transfer",0.1,0,1,0,"under_one_month","Intact"
"13490","A753547","Stray","Normal",6,"Cat","Male",0.0575342465753425,"(-0.025, 2.5]","Domestic Medium Hair Mix","Black","Transfer",0.1,0,1,0,"under_one_month","Intact"
"13491","A753573","Public Assist","Normal",8,"Cat","Male",0.328767123287671,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Return to Owner",0.3,0,1,0,"under_one_month","Fixed"
"13492","A753585","Stray","Normal",6,"Dog","Female",0.164383561643836,"(-0.025, 2.5]","Catahoula Mix","White","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13493","A753586","Stray","Normal",67,"Dog","Female",2,"(-0.025, 2.5]","Pit Bull Mix","Brown","Adoption",2,2,10,1,"over one month","Intact"
"13494","A753590","Stray","Normal",6,"Dog","Female",2,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Tan","Adoption",2,0,1,0,"under_one_month","Intact"
"13495","A753618","Public Assist","Normal",7,"Dog","Male",4,"(2.5, 5.0]","Jack Russell Terrier Mix","White","Return to Owner",4,0,1,0,"under_one_month","Fixed"
"13496","A753618","Owner Surrender","Normal",58,"Dog","Male",4,"(2.5, 5.0]","Jack Russell Terrier Mix","White","Adoption",4,2,8,1,"over one month","Intact"
"13497","A753626","Stray","Normal",69,"Cat","Male",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.1,2,10,1,"over one month","Intact"
"13498","A753627","Stray","Normal",70,"Cat","Male",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.1,2,10,1,"over one month","Intact"
"13499","A753628","Stray","Normal",72,"Cat","Female",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.1,2,10,1,"over one month","Intact"
"13500","A753659","Stray","Normal",6,"Dog","Female",0.73972602739726,"(-0.025, 2.5]","Siberian Husky Mix","White","Adoption",0.7,0,1,0,"under_one_month","Intact"
"13501","A753696","Stray","Injured",8,"Dog","Female",9,"(7.5, 10.0]","Pointer Mix","White","Rto-Adopt",9,0,1,0,"under_one_month","Fixed"
"13502","A753699","Public Assist","Normal",8,"Dog","Female",4,"(2.5, 5.0]","Pit Bull Mix","Gray","Return to Owner",4,0,1,0,"under_one_month","Fixed"
"13503","A753727","Stray","Normal",65,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.2,2,9,1,"over one month","Intact"
"13504","A753728","Owner Surrender","Normal",8,"Cat","Male",0.328767123287671,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.3,0,1,0,"under_one_month","Fixed"
"13505","A753728","Stray","Normal",89,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.1,3,13,1,"over one month","Intact"
"13506","A753730","Stray","Normal",82,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","White","Adoption",2,3,12,1,"over one month","Intact"
"13507","A753737","Stray","Normal",70,"Cat","Male",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.1,2,10,1,"over one month","Intact"
"13508","A753738","Stray","Normal",70,"Cat","Male",0.0575342465753425,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.1,2,10,1,"over one month","Intact"
"13509","A753741","Stray","Normal",7,"Dog","Female",5,"(2.5, 5.0]","Chihuahua Shorthair Mix","Black","Transfer",5,0,1,0,"under_one_month","Fixed"
"13510","A753775","Stray","Normal",50,"Cat","Male",0.328767123287671,"(-0.025, 2.5]","American Shorthair Mix","Black","Adoption",0.3,2,7,1,"over one month","Intact"
"13511","A753781","Stray","Normal",6,"Dog","Male",2,"(-0.025, 2.5]","Pug","Brown","Transfer",2,0,1,0,"under_one_month","Intact"
"13512","A753828","Stray","Normal",6,"Dog","Male",10,"(7.5, 10.0]","Shih Tzu Mix","White","Transfer",10,0,1,0,"under_one_month","Intact"
"13513","A753833","Stray","Normal",6,"Dog","Female",2,"(-0.025, 2.5]","Cairn Terrier Mix","Tan","Transfer",2,0,1,0,"under_one_month","Intact"
"13514","A753846","Public Assist","Normal",8,"Dog","Male",2,"(-0.025, 2.5]","Great Pyrenees","White","Return to Owner",2,0,1,0,"under_one_month","Fixed"
"13515","A753871","Stray","Normal",70,"Cat","Female",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue","Adoption",1,2,10,1,"over one month","Intact"
"13516","A753876","Stray","Normal",75,"Cat","Male",0.0164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue","Adoption",0,2,11,1,"over one month","Intact"
"13517","A753877","Stray","Normal",66,"Cat","Female",0.0164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue Tabby","Adoption",0,2,9,1,"over one month","Intact"
"13518","A753878","Stray","Normal",66,"Cat","Male",0.0164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue Tabby","Adoption",0,2,9,1,"over one month","Intact"
"13519","A753889","Public Assist","Normal",6,"Dog","Female",8,"(7.5, 10.0]","Chihuahua Shorthair Mix","Tan","Return to Owner",8,0,1,0,"under_one_month","Fixed"
"13520","A753893","Owner Surrender","Normal",59,"Dog","Male",1,"(-0.025, 2.5]","American Bulldog Mix","White","Transfer",1,2,8,1,"over one month","Intact"
"13521","A753919","Stray","Injured",7,"Dog","Female",2,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Silver","Adoption",2,0,1,0,"under_one_month","Intact"
"13522","A753928","Stray","Normal",8,"Cat","Male",0.410958904109589,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Euthanasia",0.4,0,1,0,"under_one_month","Intact"
"13523","A753936","Public Assist","Normal",6,"Dog","Male",2,"(-0.025, 2.5]","Pit Bull Mix","Brown","Return to Owner",2,0,1,0,"under_one_month","Fixed"
"13524","A753967","Stray","Normal",8,"Dog","Female",0.410958904109589,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Black","Adoption",0.4,0,1,0,"under_one_month","Intact"
"13525","A753975","Stray","Normal",99,"Dog","Male",4,"(2.5, 5.0]","Greyhound","White","Adoption",4,3,14,1,"over one month","Fixed"
"13526","A753986","Stray","Injured",99,"Dog","Male",0.575342465753425,"(-0.025, 2.5]","Labrador Retriever Mix","Red","Adoption",0.6,3,14,1,"over one month","Intact"
"13527","A754000","Stray","Normal",72,"Dog","Male",2,"(-0.025, 2.5]","Staffordshire Mix","Blue","Adoption",2,2,10,1,"over one month","Intact"
"13528","A754002","Stray","Normal",7,"Dog","Female",2,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Black","Adoption",2,0,1,0,"under_one_month","Intact"
"13529","A754006","Stray","Normal",7,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Tortie","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13530","A754009","Stray","Normal",6,"Dog","Male",0.0821917808219178,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Cream","Adoption",0.1,0,1,0,"under_one_month","Intact"
"13531","A754017","Owner Surrender","Normal",9,"Dog","Male",0.657534246575342,"(-0.025, 2.5]","Labrador Retriever Mix","Brown","Adoption",0.7,0,1,0,"under_one_month","Intact"
"13532","A754018","Public Assist","Normal",9,"Dog","Male",2,"(-0.025, 2.5]","Labrador Retriever Mix","Black","Return to Owner",2,0,1,0,"under_one_month","Fixed"
"13533","A754026","Stray","Normal",8,"Dog","Male",1,"(-0.025, 2.5]","Basenji Mix","White","Adoption",1,0,1,0,"under_one_month","Intact"
"13534","A754034","Stray","Normal",7,"Dog","Female",0.328767123287671,"(-0.025, 2.5]","Pit Bull Mix","Brown Brindle","Adoption",0.3,0,1,0,"under_one_month","Intact"
"13535","A754038","Stray","Normal",7,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Torbie","Adoption",0.1,0,1,0,"under_one_month","Intact"
"13536","A754042","Stray","Normal",61,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Siamese Mix","Flame Point","Adoption",0.2,2,9,1,"over one month","Intact"
"13537","A754043","Stray","Normal",61,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Orange Tabby","Adoption",0.2,2,9,1,"over one month","Intact"
"13538","A754046","Stray","Normal",9,"Dog","Male",6,"(5.0, 7.5]","Rat Terrier Mix","White","Adoption",6,0,1,0,"under_one_month","Fixed"
"13539","A754048","Stray","Normal",85,"Cat","Female",1,"(-0.025, 2.5]","Domestic Medium Hair Mix","Brown Tabby","Adoption",1,3,12,1,"over one month","Intact"
"13540","A754050","Stray","Normal",77,"Cat","Male",0.0767123287671233,"(-0.025, 2.5]","Domestic Medium Hair Mix","Brown Tabby","Adoption",0.1,3,11,1,"over one month","Intact"
"13541","A754051","Stray","Normal",77,"Cat","Male",0.0767123287671233,"(-0.025, 2.5]","Domestic Medium Hair Mix","Brown Tabby","Adoption",0.1,3,11,1,"over one month","Intact"
"13542","A754052","Stray","Normal",77,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Medium Hair Mix","Torbie","Adoption",0.1,3,11,1,"over one month","Intact"
"13543","A754068","Stray","Normal",6,"Dog","Male",4,"(2.5, 5.0]","Rottweiler","Black","Adoption",4,0,1,0,"under_one_month","Intact"
"13544","A754077","Stray","Normal",9,"Cat","Male",0.328767123287671,"(-0.025, 2.5]","Domestic Shorthair Mix","Cream Tabby","Adoption",0.3,0,1,0,"under_one_month","Intact"
"13545","A754080","Stray","Normal",7,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Black","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13546","A754081","Stray","Normal",7,"Cat","Male",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.2,0,1,0,"under_one_month","Intact"
"13547","A754088","Stray","Normal",9,"Dog","Female",0.410958904109589,"(-0.025, 2.5]","Labrador Retriever","Tan","Adoption",0.4,0,1,0,"under_one_month","Intact"
"13548","A754096","Stray","Normal",6,"Dog","Male",14,"(12.5, 15.0]","Miniature Poodle Mix","White","Return to Owner",14,0,1,0,"under_one_month","Intact"
"13549","A754103","Public Assist","Normal",8,"Cat","Female",2,"(-0.025, 2.5]","Domestic Shorthair Mix","Calico","Transfer",2,0,1,0,"under_one_month","Intact"
"13550","A754110","Stray","Nursing",76,"Dog","Female",3,"(2.5, 5.0]","German Shepherd Mix","White","Adoption",3,2,11,1,"over one month","Intact"
"13551","A754113","Stray","Normal",6,"Cat","Female",3,"(2.5, 5.0]","Domestic Shorthair Mix","Gray","Transfer",3,0,1,0,"under_one_month","Fixed"
"13552","A754129","Public Assist","Normal",9,"Cat","Female",8,"(7.5, 10.0]","Domestic Shorthair Mix","Tortie","Return to Owner",8,0,1,0,"under_one_month","Fixed"
"13553","A754144","Stray","Normal",7,"Dog","Female",0.493150684931507,"(-0.025, 2.5]","Boxer Mix","Brown","Adoption",0.5,0,1,0,"under_one_month","Intact"
"13554","A754171","Public Assist","Normal",8,"Dog","Male",2,"(-0.025, 2.5]","Miniature Pinscher","Black","Died",2,0,1,0,"under_one_month","Intact"
"13555","A754214","Owner Surrender","Normal",6,"Cat","Female",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",1,0,1,0,"under_one_month","Intact"
"13556","A754221","Owner Surrender","Normal",6,"Cat","Male",1,"(-0.025, 2.5]","Domestic Shorthair Mix","Blue Tabby","Adoption",1,0,1,0,"under_one_month","Fixed"
"13557","A754238","Stray","Normal",8,"Dog","Male",4,"(2.5, 5.0]","Chow Chow","Tan","Transfer",4,0,1,0,"under_one_month","Fixed"
"13558","A754253","Stray","Normal",9,"Dog","Male",0.410958904109589,"(-0.025, 2.5]","German Shepherd Mix","Tan","Adoption",0.4,0,1,0,"under_one_month","Intact"
"13559","A754262","Stray","Normal",8,"Dog","Male",2,"(-0.025, 2.5]","Labrador Retriever Mix","Black","Transfer",2,0,1,0,"under_one_month","Fixed"
"13560","A754268","Public Assist","Normal",8,"Dog","Male",1,"(-0.025, 2.5]","Chihuahua Shorthair Mix","White","Return to Owner",1,0,1,0,"under_one_month","Intact"
"13561","A754281","Stray","Normal",6,"Dog","Male",1,"(-0.025, 2.5]","Pointer Mix","Black","Adoption",1,0,1,0,"under_one_month","Intact"
"13562","A754290","Stray","Normal",9,"Cat","Female",0.0821917808219178,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0.1,0,1,0,"under_one_month","Intact"
"13563","A754324","Stray","Normal",8,"Dog","Male",1,"(-0.025, 2.5]","Belgian Malinois","Brown Brindle","Adoption",1,0,1,0,"under_one_month","Fixed"
"13564","A754325","Stray","Normal",8,"Dog","Female",1,"(-0.025, 2.5]","Belgian Malinois","Brown Brindle","Adoption",1,0,1,0,"under_one_month","Fixed"
"13565","A754333","Owner Surrender","Normal",6,"Dog","Male",2,"(-0.025, 2.5]","American Bulldog Mix","White","Transfer",2,0,1,0,"under_one_month","Intact"
"13566","A754338","Owner Surrender","Normal",90,"Dog","Male",3,"(2.5, 5.0]","Black Mouth Cur","Sable","Transfer",3,3,13,1,"over one month","Intact"
"13567","A754354","Public Assist","Normal",9,"Dog","Female",2,"(-0.025, 2.5]","Australian Cattle Dog","Black","Return to Owner",2,0,1,0,"under_one_month","Fixed"
"13568","A754372","Stray","Normal",6,"Dog","Female",1,"(-0.025, 2.5]","Chihuahua Shorthair Mix","Tan","Transfer",1,0,1,0,"under_one_month","Intact"
"13569","A754400","Public Assist","Normal",8,"Dog","Female",1,"(-0.025, 2.5]","Pit Bull","Cream","Return to Owner",1,0,1,0,"under_one_month","Fixed"
"13570","A754401","Stray","Normal",61,"Dog","Male",1,"(-0.025, 2.5]","Labrador Retriever Mix","Black","Adoption",1,2,9,1,"over one month","Intact"
"13571","A754407","Owner Surrender","Normal",6,"Dog","Female",6,"(5.0, 7.5]","Catahoula Mix","Blue Merle","Adoption",6,0,1,0,"under_one_month","Fixed"
"13572","A754414","Stray","Normal",9,"Dog","Female",1,"(-0.025, 2.5]","Rottweiler Mix","Black","Adoption",1,0,1,0,"under_one_month","Fixed"
"13573","A754417","Stray","Normal",68,"Cat","Male",0.0821917808219178,"(-0.025, 2.5]","Domestic Medium Hair","Orange Tabby","Adoption",0.1,2,10,1,"over one month","Intact"
"13574","A754433","Stray","Injured",69,"Cat","Male",0.0191780821917808,"(-0.025, 2.5]","Domestic Shorthair Mix","Brown Tabby","Adoption",0,2,10,1,"over one month","Intact"
"13575","A754439","Stray","Sick",9,"Cat","Female",0.0767123287671233,"(-0.025, 2.5]","Domestic Shorthair Mix","White","Transfer",0.1,0,1,0,"under_one_month","Intact"
"13576","A754462","Stray","Normal",8,"Cat","Female",0.164383561643836,"(-0.025, 2.5]","Domestic Shorthair Mix","Tortie","Adoption",0.2,0,1,0,"under_one_month","Intact"
